Provider ID,Provider Case,Provider Name,License ID,Current License Start Date,Current License End Date,License Type,Provider Program Type,Address 1,Address 2,Provider Town,Zip Code,Phone Number,Email Address,County,AHS District,Total Licensed Capacity,Infant Licensed Capacity,Toddler Licensed Capacity,Preschool Licensed Capacity,School Age Licensed Capacity,Special Services Status,Provider Referral Status,Current STARS Level,Reported Food Program Participation,Accreditation,Accreditation Start Date,Accreditation End Date,Reported Desired Infant Capacity,Reported Desired Toddler Capacity,Reported Desired Preschool Capacity,Reported Desired School Age Capacity,Reported Infant Vacancies,Reported Toddler Vacancies,Reported Preschool Vacancies,Reported School Age Vacancies,Date Capacity and Vacancies Reported,Special Schedule,Usual Program Start,Usual Program End,Location 1,Prequalified Prekindgarten Program,Prequalified Prekindgarten Start Date,Prequalified Prekindgarten End Date
3003,2131,"Jacobs, Suzanne",V96-473,02/08/2015,02/06/2016,Registered Home,Registered,175 Washington Street,0,Barre City,05641,(802) 476-5046,snofreaks175@aol.com,Washington ,MDO,0,0,0,0,0,No,Active,,0,,,,0,0,0,3,0,0,0,0,10/30/2015,,,,"175 Washington Street
Barre City, Vermont 05641
(44.191912, -72.492227)",,,
4558,3322,"Readsboro Preschool, Incorporated",1833,11/15/2015,11/12/2016,Licensed Provider,Licensed - Early Childhood,437 Tunnel Street,0,Readsboro,05350,(802) 423-5100,rpiecc1@sover.net,Bennington,TDO,15,6,3,4,2,Yes,Active,4 Star,0,,,,5,6,6,3,5,1,1,1,10/23/2015,,7:30 AM,5:30 PM,"437 Tunnel Street
Readsboro, Vermont 05350
(42.766257, -72.94567)",Prequalified PreK Program - Privately Operated,06/19/2015 12:00:00 AM,06/19/2018 12:00:00 AM
163287,106603,Charlotte Children's Center Extension,46997,06/14/2015,07/23/2016,Licensed Provider,Licensed - Early Childhood,403 Church Hill Road,0,Charlotte,05445,(802) 425-3328,ccc@gmavt.net,Chittenden,BDO,12,0,0,6,6,No,Inactive,4 Star,0,,,,0,0,6,6,0,0,1,0,08/14/2015,,8:00 AM,5:30 PM,"403 Church Hill Road
Charlotte, Vermont 05445
(44.314229, -73.240202)",Prequalified PreK Program - Privately Operated,03/12/2015 12:00:00 AM,03/12/2018 12:00:00 AM
36581,154158,"Clark, Amanda",63378,01/25/2015,01/23/2016,Registered Home,Registered,689 Birdseye Rd,0,Castleton,05735,(802) 770-8446,clarkamanda1104@gmail.com,Rutland,RDO,0,0,0,0,0,No,Active,,0,,,,2,2,2,4,2,0,0,0,12/14/2015,,,,"689 Birdseye Rd
Castleton, Vermont 05735
(43.600924, -73.128225)",,,
2589,1829,Children's Center at the Union Church,653,07/26/2015,07/23/2016,Licensed Provider,Licensed - Early Childhood,5 Church Street,0,Proctor,05765,(802) 459-2738,thechildrenscentervt@gmail.com,Rutland,RDO,49,4,8,32,5,Yes,Active,4 Star,0,,,,3,4,6,20,3,3,0,0,01/03/0001,,7:00 AM,5:30 PM,"5 Church Street
Proctor, Vermont 05765
(43.660021, -73.035893)",Prequalified PreK Program - Privately Operated,07/01/2015 12:00:00 AM,07/01/2018 12:00:00 AM
215547,145078,The Garland School,61734,09/06/2015,09/03/2016,Licensed Provider,Licensed - Early Childhood,60 Croker Hall,Austine Drive,Brattleboro,05301,(802) 258-9531,garlandchild@aol.com,Windham,LDO,30,8,10,10,2,Yes,Active,4 Star,0,,,,4,5,10,6,4,0,0,0,12/10/2015,,8:00 AM,5:00 PM,"60 Croker Hall
Brattleboro, Vermont 05301
",Prequalified PreK Program - Privately Operated,08/19/2015 12:00:00 AM,08/19/2018 12:00:00 AM
4684,3418,"Maple Leaf Children's Center, Inc.",1873,02/22/2015,02/20/2016,Licensed Provider,Licensed - Early Childhood,2596 Route 113,0,Thetford,05074,(802) 785-2074,mapleleafcc@outlook.com,Orange,HDO,18,2,5,6,5,Yes,Active,4 Star,0,,,,2,2,10,4,2,0,2,0,12/03/2015,,7:30 AM,5:30 PM,"2596 Route 113
Thetford, Vermont 05074
",Prequalified PreK Program - Privately Operated,09/23/2015 12:00:00 AM,09/23/2018 12:00:00 AM
2337,1657,"West River Montessori School, Inc.",366,11/29/2015,11/26/2016,Licensed Provider,Licensed - Early Childhood,3650 D VT 100 N,0,Londonderry,05155,(802) 824-5033,renatasawyerwrms@gmail.com,Windham,SDO,25,0,5,20,0,No,Active,5 Star,0,,,,0,7,14,5,0,0,3,0,10/16/2015,,8:00 AM,5:00 PM,"3650 D VT 100 N
Londonderry, Vermont 05155
",Prequalified PreK Program - Privately Operated,06/02/2015 12:00:00 AM,06/02/2018 12:00:00 AM
2436,1727,Timson Hill Preschool,776,12/27/2015,12/24/2016,Licensed Provider,Licensed - Early Childhood,13 Timson Hill,0,Newfane,05362,(802) 348-6319,timsonhill@myfairpoint.net,Windham,LDO,15,0,0,12,3,Yes,Active,5 Star,0,NAEYC,06/01/2012,06/01/2017,0,0,15,0,0,0,3,0,12/10/2015,,8:15 AM,4:00 PM,"13 Timson Hill
Newfane, Vermont 05362
",Prequalified PreK Program - Privately Operated,02/23/2015 12:00:00 AM,02/23/2018 12:00:00 AM
2878,2037,"Starksboro Cooperative Pre-School, Inc.",1127,09/06/2015,10/01/2016,Licensed Provider,Licensed - Early Childhood,2875 Route 116,Starksboro Meeting House,Starksboro,05487,(802) 453-4427,starkscoop@gmail.com,Addison,YDO,15,0,0,15,0,Yes,Active,5 Star,0,,,,0,0,15,0,0,0,0,0,10/26/2015,,7:30 AM,4:30 PM,"2875 Route 116
Starksboro, Vermont 05487
",Prequalified PreK Program - Privately Operated,05/04/2015 12:00:00 AM,05/04/2018 12:00:00 AM
